location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Jp Nagar,12.9107,77.5835,South,Villa,2,1070,9950,7194,7654,8354,9117,9950,9.01,1,8.4,6.1,41.3,38.30970252988601,19.104620541058175,8.445906110320855,106.465,53.2325,535.0,45.95,0.25671641791044775,0.25477707006369427,0.11155762850678107,0.8206521739130435,0.24307692307692308,3,2,16,10815.0,12682.0,14952.0,8.69,27.46,50.27,11.34,46.1,Stable,94,Jp Nagar offers steady 9.1% annual appreciation. Investment score: 47/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 50.3%.,0
Yelahanka,13.0963,77.5965,North,Apartment,3,1750,11000,6291,7006,8143,9464,11000,18.52,0,19.9,5.3,11.9,74.85296455253537,35.08534937983544,14.992164819833365,192.5,64.16666666666667,583.3333333333334,24.150000000000002,0.3194029850746269,0.6110902959910078,0.2309859936978581,0.34673913043478266,0.5969230769230769,2,0,34,12654.0,16775.0,22159.0,15.04,52.5,101.45,21.43,53.2,High Growth,7,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Frazer Town,12.9736,77.613,Central,Builder Floor,3,1720,12400,10323,10689,11231,11801,12400,5.72,0,10.3,3.7,32.5,20.12012012012012,10.408690232392486,4.689696183644632,213.28,71.09333333333333,573.3333333333334,23.45,0.40298507462686567,0.13150992881228926,0.25983148017046326,0.33152173913043476,0.30153846153846153,0,1,6,12987.0,14221.0,15601.0,4.73,14.69,25.81,6.53,23.8,Stable,16,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Kr Puram,13.007,77.6974,East,Builder Floor,2,920,8950,4705,5327,6333,7529,8950,20.29,1,6.8,6.6,33.4,90.2231668437832,41.32322753829149,17.439948436128617,82.34,41.17,460.0,51.5,0.19701492537313434,0.67740726863994,0.0780688238315357,0.9413043478260869,0.19384615384615383,1,1,20,10487.0,14532.0,20017.0,17.17,62.37,123.65,24.55,75.4,High Potential,17,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Hebbal,13.0305,77.6002,North,Apartment,4,2440,16150,10843,11703,13029,14506,16150,11.04,0,10.6,8.7,17.9,48.94401918288296,23.95425589070535,10.472903178541682,394.06,98.515,610.0,30.450000000000003,0.6268656716417911,0.33083551892094415,0.5107788836602396,0.48369565217391314,0.31076923076923074,2,0,8,17848.0,21777.0,26569.0,10.51,34.84,64.51,14.07,36.9,Premium,100,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Hsr Layout,12.912,77.6363,South,Apartment,2,1100,13400,7788,8645,10005,11579,13400,17.09,0,5.5,8.3,43.6,72.05957883923986,33.93303348325837,14.530119505267836,147.4,73.7,550.0,22.7,0.4626865671641791,0.5575121768452604,0.16838101583864298,0.31521739130434784,0.15384615384615385,3,0,11,15348.0,20155.0,26270.0,14.54,50.41,96.04,20.4,47.6,High Growth,30,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Anjanapura,12.8563,77.5725,South,Apartment,1,590,6150,4714,4959,5328,5724,6150,6.89,0,12.4,10.0,47.8,30.462452269834532,15.427927927927929,6.87383272374722,36.285,36.285,590.0,13.700000000000001,0.029850746268656716,0.175346571749719,0.014138175155124302,0.1195652173913044,0.36615384615384616,3,0,0,6571.0,7502.0,8577.0,6.85,21.98,39.46,9.02,27.6,Stable,100,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Rt Nagar,13.0207,77.5857,North,Apartment,2,890,8000,6731,6956,7288,7636,8000,4.29,0,13.3,5.4,24.0,18.853067894815034,9.769484083424809,4.41252517060764,71.2,35.6,445.0,24.7,0.14029850746268657,0.07793180966654178,0.06260497785921515,0.358695652173913,0.39384615384615385,2,0,29,8374.0,9166.0,9993.0,4.68,14.58,24.91,5.7,26.4,Stable,117,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Bannerghatta Road,12.8773,77.5961,South,Builder Floor,3,2060,9850,6167,6747,7654,8683,9850,13.59,0,8.5,7.1,42.6,59.72109615696449,28.690880585314872,12.419220730624314,202.91,67.63666666666667,686.6666666666666,20.2,0.2507462686567164,0.42637692019482953,0.2454364996737878,0.2608695652173913,0.24615384615384617,3,1,2,11019.0,13910.0,17543.0,11.87,41.22,78.1,16.96,42.2,Stable,81,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Sarjapur Road,12.8985,77.6895,East,Apartment,1,530,11800,7143,7867,9005,10308,11800,14.14,0,4.3,12.2,40.8,65.19669606607867,31.038312048861744,13.370572382005363,62.54,62.54,530.0,25.3,0.36716417910447763,0.4469838890970401,0.050583711600660754,0.3717391304347826,0.11692307692307692,1,0,30,13376.0,17189.0,22058.0,13.36,45.67,86.93,18.1,45.3,Stable,60,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Kr Puram,13.0084,77.7011,East,Apartment,3,1930,9750,5126,5803,6899,8202,9750,17.91,1,6.5,6.8,35.0,90.20678891923527,41.32482968546166,17.43742050439605,188.175,62.725,643.3333333333334,51.0,0.24477611940298508,0.5882352941176471,0.22498230125348773,0.9304347826086956,0.18461538461538463,1,0,20,11469.0,15747.0,21732.0,17.63,61.51,122.89,23.6,71.2,High Potential,94,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Malleshwaram,13.0075,77.571,North,Villa,3,2110,14450,13140,13379,13727,14084,14450,2.61,1,14.9,3.4,26.8,9.969558599695585,5.266992059444889,2.404282842399108,304.895,101.63166666666666,703.3333333333334,46.7,0.5253731343283582,0.014986886474334955,0.38700564971751406,0.8369565217391305,0.4430769230769231,2,2,21,14809.0,15555.0,16268.0,2.48,7.65,12.58,3.2,28.6,Stable,124,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Devanahalli,13.2441,77.7173,North,Apartment,2,900,9300,5000,5636,6660,7870,9300,16.9,0,31.3,8.5,7.5,86.0,39.63963963963964,16.782625835292198,83.7,41.85,450.0,26.25,0.21791044776119403,0.5503934057699512,0.07995669012618166,0.3923913043478261,0.9476923076923077,2,0,4,10850.0,14822.0,20227.0,16.67,59.38,117.49,22.54,56.1,High Growth,107,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Jayanagar,12.9248,77.5963,South,Villa,2,1080,15950,11210,11993,13189,14504,15950,9.48,1,9.6,3.5,38.0,42.283675289919714,20.934111759799833,9.216629228007012,172.26,86.13,540.0,46.4,0.6149253731343284,0.27238666167103787,0.20289010119518594,0.8304347826086957,0.27999999999999997,3,2,15,17382.0,20775.0,24731.0,8.98,30.25,55.05,12.25,42.3,Stable,108,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Hoodi,12.982,77.7187,East,Villa,2,1140,11300,7322,7957,8944,10053,11300,13.17,1,3.9,12.6,40.1,54.32941819175089,26.34168157423971,11.458239681733318,128.82,64.41,570.0,51.05,0.3373134328358209,0.4106406893967779,0.14258943072502395,0.9315217391304347,0.10461538461538461,1,2,10,12517.0,15443.0,19224.0,10.77,36.66,70.12,15.86,56.0,High Potential,91,"Hoodi presents an emerging opportunity — current price Rs 10,418/sqft is still accessible, while connectivity score of 52 and 12.4% growth signal strong upside. 5-year ROI estimate: 72.0%. Early-entry advantage recommended.",0
Malleshwaram,13.0003,77.5726,North,Apartment,3,1450,13550,12323,12547,12873,13207,13550,2.39,1,12.8,3.2,27.5,9.956990992453136,5.2590693699992235,2.4013569600426,196.475,65.49166666666666,483.3333333333333,48.45,0.4716417910447761,0.006744098913450737,0.23650383819875345,0.875,0.37846153846153846,2,0,21,13858.0,14529.0,15229.0,2.27,7.23,12.39,3.11,30.1,Stable,46,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Sarjapur Road,12.9025,77.6902,East,Apartment,3,2170,11600,7023,7734,8853,10134,11600,14.67,0,4.3,11.2,40.7,65.17157909725188,31.029029707443804,13.36626284136495,251.72,83.90666666666667,723.3333333333334,25.349999999999998,0.35522388059701493,0.466841513675534,0.3131914657338386,0.3728260869565217,0.11692307692307692,1,0,30,13165.0,16844.0,21749.0,13.49,45.21,87.49,18.3,46.2,Stable,28,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Indiranagar,12.9745,77.6439,East,Apartment,4,2870,19400,13025,14058,15651,17425,19400,12.1,1,7.5,4.0,34.9,48.94433781190019,23.95374097501757,10.472962260881014,556.78,139.195,717.5,50.05,0.8208955223880597,0.37055076807793186,0.7366565332667027,0.9097826086956521,0.2153846153846154,1,0,13,21438.0,26115.0,31907.0,10.51,34.61,64.47,14.49,46.0,Premium,33,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Hulimavu,12.895,77.609,South,Builder Floor,3,1470,7500,5423,5770,6297,6872,7500,9.87,0,7.2,8.4,44.2,38.29983404019915,19.10433539780848,8.443971636595627,110.25,36.75,490.0,20.7,0.11044776119402985,0.2869988759835144,0.11681172698121851,0.2717391304347826,0.20615384615384616,3,1,12,8139.0,9520.0,11259.0,8.52,26.93,50.12,11.68,35.7,Stable,27,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Bellandur,12.9293,77.6819,East,Apartment,3,2100,12900,7682,8487,9758,11220,12900,17.03,0,3.8,11.2,44.1,67.92501952616506,32.199221151875385,13.835796827877257,270.9,90.3,700.0,24.15,0.43283582089552236,0.5552641438741102,0.339815933036272,0.3467391304347826,0.10153846153846154,1,0,3,14692.0,19034.0,24795.0,13.89,47.55,92.21,19.7,48.2,High Growth,11,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Frazer Town,12.9737,77.6107,Central,Builder Floor,2,1070,11800,9823,10172,10688,11230,11800,4.88,0,10.1,3.9,33.1,20.12623434795887,10.404191616766468,4.691028359379423,126.26,63.13,535.0,23.35,0.36716417910447763,0.10003746721618584,0.1390358000527492,0.32934782608695656,0.29538461538461536,0,1,6,12341.0,13550.0,14902.0,4.58,14.83,26.29,6.19,23.3,Stable,31,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Hebbal,13.0384,77.5947,North,Villa,4,2090,16650,11179,12066,13433,14955,16650,12.27,0,10.4,8.3,18.0,48.939976742105735,23.948485074071314,10.472153593703881,347.985,86.99625,522.5,30.6,0.6567164179104478,0.37692019482952416,0.4468204722442011,0.48695652173913045,0.3046153846153846,2,2,8,18352.0,22428.0,27399.0,10.22,34.7,64.56,14.56,38.1,Premium,55,"Hebbal commands premium pricing at Rs 16,039/sqft with a 11.4% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Rajarajeshwari Nagar,12.9194,77.5118,West,Apartment,1,520,7600,5768,6080,6549,7055,7600,8.62,1,14.4,8.4,38.3,31.761442441054093,16.048251641471982,7.138875824736024,39.52,39.52,520.0,41.45,0.11641791044776119,0.24016485575121768,0.018628798289815243,0.7228260869565217,0.4276923076923077,4,0,27,8156.0,9347.0,10741.0,7.32,22.99,41.33,9.96,44.0,Stable,3,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Sarjapur Road,12.8969,77.6866,East,Apartment,3,1920,12000,7264,8000,9158,10483,12000,14.53,0,4.1,10.8,39.7,65.19823788546255,31.032976632452502,13.370836909593443,230.4,76.8,640.0,26.049999999999997,0.37910447761194027,0.46159610340951673,0.28359638529130055,0.38804347826086955,0.11076923076923076,1,0,30,13624.0,17451.0,22530.0,13.53,45.42,87.75,18.25,46.1,Stable,33,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Koramangala,12.9305,77.6227,South,Villa,3,1580,21100,13209,14452,16395,18599,21100,12.35,0,5.1,5.2,39.1,59.739571504277386,28.69777371149741,12.42247154424556,333.38,111.12666666666667,526.6666666666666,25.35,0.9223880597014925,0.3799175721243912,0.4265467316314774,0.3728260869565218,0.14153846153846153,3,2,19,23759.0,29994.0,37891.0,12.6,42.15,79.58,16.46,33.6,Premium,67,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Bellandur,12.9262,77.6811,East,Apartment,3,1960,13900,8276,9144,10514,12089,13900,15.78,0,3.5,11.2,41.3,67.9555340744321,32.20467947498573,13.840967902512325,272.44,90.81333333333333,653.3333333333334,25.85,0.4925373134328358,0.5084301236418135,0.34195366398756233,0.3836956521739131,0.09230769230769231,1,0,3,15874.0,20497.0,26509.0,14.2,47.46,90.71,19.21,46.4,High Growth,48,Bellandur is among the fastest appreciating micro-markets with 15.0% YoY growth. Investment score: 46/100. Projected 3-year ROI: 47.6%. Ideal for growth-oriented investors with a medium horizon.,0
Richmond Town,12.9587,77.6038,Central,Apartment,3,1700,13750,10755,11271,12043,12868,13750,7.2,1,10.4,3.0,32.5,27.847512784751277,14.174209084115253,6.334225178088526,233.75,77.91666666666667,566.6666666666666,48.35,0.4835820895522388,0.1869614087673286,0.2882466441788476,0.8728260869565219,0.3046153846153846,0,0,28,14627.0,16530.0,18672.0,6.38,20.22,35.8,8.64,39.5,Stable,5,Richmond Town offers steady 6.8% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Hsr Layout,12.907,77.6403,South,Apartment,2,880,14300,8311,9226,10677,12356,14300,16.53,0,6.0,8.1,46.8,72.06112381181566,33.93275264587431,14.530376604144735,125.84,62.92,440.0,20.6,0.5164179104477612,0.5365305357811915,0.13845278252057916,0.2695652173913044,0.16923076923076924,3,0,11,16332.0,21400.0,28158.0,14.21,49.65,96.91,20.18,45.1,High Growth,80,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Rt Nagar,13.0241,77.5918,North,Builder Floor,2,960,7750,6521,6739,7060,7397,7750,4.96,0,13.9,5.4,25.5,18.846802637632265,9.773371104815865,4.411149134913206,74.4,37.2,480.0,23.35,0.1253731343283582,0.10303484451105284,0.06704701619955858,0.32934782608695656,0.4123076923076923,2,1,29,8089.0,8834.0,9651.0,4.37,13.99,24.53,5.97,26.7,Stable,102,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Sarjapur Road,12.9019,77.682,East,Builder Floor,2,1340,12600,7627,8400,9616,11007,12600,14.41,0,4.9,12.5,42.1,65.20256981775272,31.03161397670549,13.37158012266606,168.84,84.42,670.0,24.049999999999997,0.41492537313432837,0.4571000374672162,0.19814267271894392,0.3445652173913043,0.1353846153846154,1,1,30,14278.0,18377.0,23601.0,13.32,45.85,87.31,18.2,44.3,Stable,79,Sarjapur Road offers steady 14.5% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 87.5%.,0
Banashankari,12.9291,77.5495,South,Builder Floor,2,1320,8450,6609,6926,7401,7908,8450,7.3,1,10.7,4.5,35.1,27.85595400211832,14.173760302661803,6.33598033168048,111.54,55.77,660.0,46.75,0.16716417910447762,0.19070813038591233,0.11860242368716944,0.8380434782608696,0.31384615384615383,3,1,1,9010.0,10187.0,11512.0,6.63,20.56,36.24,8.68,43.6,Stable,19,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Devanahalli,13.2499,77.7132,North,Builder Floor,1,660,9350,5028,5667,6696,7913,9350,17.1,0,27.9,7.9,8.5,85.95863166268894,39.635603345280764,16.776131875557287,61.71,61.71,660.0,25.75,0.2208955223880597,0.5578868490071188,0.049431557906134176,0.3815217391304348,0.8430769230769231,2,1,4,10938.0,14916.0,20325.0,16.98,59.53,117.38,22.62,56.0,High Growth,111,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Jayanagar,12.9255,77.5892,South,Apartment,2,1080,14450,10156,10865,11948,13140,14450,8.95,1,8.7,4.0,40.2,42.280425364316656,20.9407432206227,9.21600556376867,156.06,78.03,540.0,46.199999999999996,0.5253731343283582,0.25252903709254404,0.18040228209719736,0.8260869565217391,0.2523076923076923,3,0,15,15775.0,18787.0,22278.0,9.17,30.01,54.17,12.04,42.7,Stable,100,Jayanagar offers steady 10.0% annual appreciation. Investment score: 44/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 55.4%.,0
Hsr Layout,12.9117,77.6385,South,Apartment,2,850,14650,8514,9451,10938,12659,14650,18.03,0,5.3,8.6,46.9,72.06953253464881,33.936734320716766,14.531775869305052,124.525,62.2625,425.0,21.25,0.5373134328358209,0.5927313600599476,0.13662738239009428,0.28369565217391307,0.14769230769230768,3,0,11,16768.0,22082.0,28894.0,14.46,50.73,97.23,20.78,47.1,High Growth,40,Hsr Layout is among the fastest appreciating micro-markets with 15.7% YoY growth. Investment score: 46/100. Projected 3-year ROI: 50.2%. Ideal for growth-oriented investors with a medium horizon.,0
Manyata Tech Park,13.0469,77.6197,North,Builder Floor,3,1590,12750,8408,9107,10188,11397,12750,12.32,0,0.5,6.9,18.0,51.64129400570885,25.147232037691403,10.96968939352545,202.725,67.575,530.0,40.5,0.42388059701492536,0.37879355563881606,0.24517969433223671,0.7021739130434782,0.0,2,1,22,14162.0,17392.0,21402.0,11.07,36.41,67.86,15.05,47.5,Stable,68,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
